Id,TimeStamp,Open,Close,High,Low,Volume,Ask,Bid,IsFirst,TotalTick,LastPrice,Side
1,3/30/2009 12:00:00 AM,1773.25,1765.25,1774.75,1746.25,285174,0,0,False,3687,15859.5,Sell
2,3/31/2009 12:00:00 AM,1776.25,1770.25,1800.5,1769.25,293102,0,0,False,3687,15859.5,Sell
3,4/1/2009 12:00:00 AM,1758,1793.75,1797.5,1752.75,303104,0,0,False,3687,15859.5,Buy
4,4/2/2009 12:00:00 AM,1815,1843.75,1853.5,1810.75,391557,0,0,False,3687,15859.5,Buy
5,4/3/2009 12:00:00 AM,1845.75,1860,1860.75,1836,242549,0,0,False,3687,15859.5,Buy
6,4/6/2009 12:00:00 AM,1841.75,1855.25,1857,1828.25,232949,0,0,False,3687,15859.5,Buy
7,4/7/2009 12:00:00 AM,1838.75,1823.5,1839.5,1809.5,289763,0,0,False,3687,15859.5,Sell
8,4/8/2009 12:00:00 AM,1830.75,1841,1848.5,1821.75,246969,0,0,False,3687,15859.5,Buy
9,4/9/2009 12:00:00 AM,1863.75,1879.75,1884,1860,238169,0,0,False,3687,15859.5,Buy
10,4/13/2009 12:00:00 AM,1876.5,1875.5,1886.25,1864.25,181776,0,0,False,3687,15859.5,Sell
11,4/14/2009 12:00:00 AM,1871,1867,1878.5,1853.25,259804,0,0,False,3687,15859.5,Sell
12,4/15/2009 12:00:00 AM,1854,1859.75,1861,1836.25,286565,0,0,False,3687,15859.5,Buy
13,4/16/2009 12:00:00 AM,1877,1894.5,1901,1863.5,323131,0,0,False,3687,15859.5,Buy
14,4/17/2009 12:00:00 AM,1890,1895.5,1903.5,1880.25,224541,0,0,False,3687,15859.5,Buy
15,4/20/2009 12:00:00 AM,1870.5,1856.75,1875.75,1844.25,258261,0,0,False,3687,15859.5,Sell
16,4/21/2009 12:00:00 AM,1846.5,1870.75,1872.75,1846.5,297690,0,0,False,3687,15859.5,Buy
17,4/22/2009 12:00:00 AM,1862.5,1864.25,1904.75,1858,354141,0,0,False,3687,15859.5,Buy
18,4/23/2009 12:00:00 AM,1883,1884.75,1889.5,1861.75,325428,0,0,False,3687,15859.5,Buy
19,4/24/2009 12:00:00 AM,1897.5,1917.25,1921.25,1885.75,295307,0,0,False,3687,15859.5,Buy
20,4/27/2009 12:00:00 AM,1900,1915.25,1926.25,1897.5,262006,0,0,False,3687,15859.5,Buy
21,4/28/2009 12:00:00 AM,1904.75,1902.5,1920.25,1897,241218,0,0,False,3687,15859.5,Sell
22,4/29/2009 12:00:00 AM,1913,1920,1940,1911,268598,0,0,False,3687,15859.5,Buy
